brand_name,serise_name,score,level,struct,EngineORbattery,SpeedchunkORcharge,type,price,status,url
AC Schnitzer,AC Schnitzer M3,暂无,中型车,三厢 ,3.0T ,湿式双离合 ,燃油汽车,109.00万,停售,https://car.autohome.com.cn/price/series-3895-0-3.html#pvareaid=2042206
AC Schnitzer,AC Schnitzer X5,暂无,中大型SUV,SUV ,3.0T ,手自一体 ,燃油汽车,110.00万,停售,https://car.autohome.com.cn/price/series-2097-0-3.html#pvareaid=2042206
AITO,问界M5,暂无,中型SUV,150公里,1.5T ,"快充0.75小时,慢充5小时",新能源,24.98-31.98万,在售,https://car.autohome.com.cn/price/series-6388.html#pvareaid=2042206
ALPINA,ALPINA B4,暂无,中型车,硬顶跑车 ,3.0T ,手自一体 ,燃油汽车,109.80万,停售,https://car.autohome.com.cn/price/series-4212-0-3.html#pvareaid=2042206
ARCFOX极狐,极狐 阿尔法S(ARCFOX αS),4.50,中大型车,525-708公里,218-435马力,"快充0.5小时,慢充15.5小时",新能源,25.19-34.49万,在售,https://car.autohome.com.cn/price/series-5824.html#pvareaid=2042206
ARCFOX极狐,极狐 阿尔法T(ARCFOX αT),4.53,中型SUV,480-653公里,218-435马力,"快充0.43小时,慢充15.5小时",新能源,24.19-31.99万,在售,https://car.autohome.com.cn/price/series-5590.html#pvareaid=2042206
Aspark,Aspark Owl,暂无,跑车,无,无,无,燃油汽车,暂无报价,在售,https://car.autohome.com.cn/price/series-5514.html#pvareaid=2042206
AUXUN傲旋,傲旋,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,108.00-158.00万,在售,https://car.autohome.com.cn/price/series-5329.html#pvareaid=2042206
阿尔法・罗密欧,Giulia,4.53,中型车,三厢 ,2.0T 2.9T ,手自一体 ,燃油汽车,31.98-125.98万,停售,https://car.autohome.com.cn/price/series-3825-0-3.html#pvareaid=2042206
阿尔法・罗密欧,Stelvio,4.54,中型SUV,SUV ,2.0T 2.9T ,手自一体 ,燃油汽车,39.98-127.98万,停售,https://car.autohome.com.cn/price/series-4196-0-3.html#pvareaid=2042206
阿尔法・罗密欧,阿尔法・罗密欧156,暂无,中型车,三厢 ,2.0L ,手自一体 ,燃油汽车,35.00万,停售,https://car.autohome.com.cn/price/series-179-0-3.html#pvareaid=2042206
阿尔法・罗密欧,阿尔法・罗密欧GT,暂无,跑车,硬顶跑车 ,3.2L ,手自一体 ,燃油汽车,40.00万,停售,https://car.autohome.com.cn/price/series-401-0-3.html#pvareaid=2042206
阿斯顿・马丁,阿斯顿・马丁DBX,暂无,中大型SUV,SUV ,4.0T ,手自一体 ,燃油汽车,212.80-319.80万,停售,https://car.autohome.com.cn/price/series-3742-0-3.html#pvareaid=2042206
阿斯顿・马丁,V8 Vantage,暂无,跑车,软顶敞篷车 硬顶跑车 ,4.0T 4.3L 4.7L ,手自一体 手动 ,燃油汽车,181.80-318.00万,停售,https://car.autohome.com.cn/price/series-385-0-3.html#pvareaid=2042206
阿斯顿・马丁,阿斯顿・马丁DB11,暂无,跑车,软顶敞篷车 硬顶跑车 ,4.0T 5.2T ,手自一体 ,燃油汽车,220.80-329.80万,停售,https://car.autohome.com.cn/price/series-3891-0-3.html#pvareaid=2042206
阿斯顿・马丁,阿斯顿・马丁DBS,暂无,跑车,软顶敞篷车 硬顶跑车 ,5.2T 6.0L ,手自一体 手动 ,燃油汽车,366.80-518.00万,停售,https://car.autohome.com.cn/price/series-582-0-3.html#pvareaid=2042206
阿斯顿・马丁,Rapide,暂无,大型车,掀背 ,6.0L ,手自一体 ,燃油汽车,279.80-428.00万,停售,https://car.autohome.com.cn/price/series-923-0-3.html#pvareaid=2042206
阿斯顿・马丁,拉共达Taraf,暂无,大型车,三厢 ,6.0L ,手自一体 ,燃油汽车,810.00万,停售,https://car.autohome.com.cn/price/series-884-0-3.html#pvareaid=2042206
阿斯顿・马丁,V12 Vantage,暂无,跑车,软顶敞篷车 硬顶跑车 ,6.0L ,手自一体 手动 ,燃油汽车,288.00-389.38万,停售,https://car.autohome.com.cn/price/series-822-0-3.html#pvareaid=2042206
阿斯顿・马丁,阿斯顿・马丁DB9,暂无,跑车,软顶敞篷车 硬顶跑车 ,6.0L ,手动 手自一体 ,燃油汽车,143.00-438.00万,停售,https://car.autohome.com.cn/price/series-266-0-3.html#pvareaid=2042206
阿斯顿・马丁,Vanquish,暂无,跑车,软顶敞篷车 硬顶跑车 ,6.0L ,手动 自动 ,燃油汽车,193.00-628.00万,停售,https://car.autohome.com.cn/price/series-386-0-3.html#pvareaid=2042206
阿斯顿・马丁,V12 Zagato,暂无,跑车,硬顶跑车 ,6.0L ,手动 ,燃油汽车,1200.00万,停售,https://car.autohome.com.cn/price/series-2846-0-3.html#pvareaid=2042206
阿斯顿・马丁,Virage,暂无,跑车,软顶敞篷车 硬顶跑车 ,6.0L ,手自一体 ,燃油汽车,430.00-456.00万,停售,https://car.autohome.com.cn/price/series-2275-0-3.html#pvareaid=2042206
阿斯顿・马丁,Valhalla,暂无,跑车,无,无,无,燃油汽车,暂无报价,即将销售,https://car.autohome.com.cn/price/series-5146.html#pvareaid=2042206
爱驰,爱驰U5,4.65,中型SUV,403-623公里,190马力,"快充0.45小时,慢充10.5小时",新能源,19.79-29.21万,停售,https://car.autohome.com.cn/price/series-4769-0-3.html#pvareaid=2042206
爱驰,爱驰U6,暂无,中型SUV,503-650公里,218马力,"快充0.45小时,慢充14.5小时",新能源,暂无报价,即将销售,https://car.autohome.com.cn/price/series-5642.html#pvareaid=2042206
安徽猎豹,嘉远KOMI,暂无,微型车,161-322公里,27-41马力,无,新能源,4.58-6.78万,在售,https://car.autohome.com.cn/price/series-6392.html#pvareaid=2042206
奥迪,奥迪A3,4.53,紧凑型车,两厢 三厢 ,1.4T 1.8T 2.0T ,干式双离合 湿式双离合 手动 ,燃油汽车,18.49-29.67万,停售,https://car.autohome.com.cn/price/series-3170-0-3.html#pvareaid=2042206
奥迪,奥迪A4L,4.51,中型车,三厢 ,1.4T 1.8T 2.0T ...,湿式双离合 无级 手动 手自一体 ,燃油汽车,27.28-57.81万,停售,https://car.autohome.com.cn/price/series-692-0-3.html#pvareaid=2042206
奥迪,奥迪A6L,4.55,中大型车,三厢 ,1.8T 2.0T 2.4L ...,湿式双离合 无级 手动 手自一体 ,燃油汽车,34.30-85.63万,停售,https://car.autohome.com.cn/price/series-18-0-3.html#pvareaid=2042206
奥迪,奥迪A6L新能源,4.59,中大型车,50公里,2.0T ,"快充2.3小时,慢充8.5小时",新能源,45.48万,停售,https://car.autohome.com.cn/price/series-4526-0-3.html#pvareaid=2042206
奥迪,奥迪Q2L,4.55,小型SUV,SUV ,1.4T ,干式双离合 ,燃油汽车,21.77-26.85万,停售,https://car.autohome.com.cn/price/series-4871-0-3.html#pvareaid=2042206
奥迪,奥迪Q2L e-tron,暂无,小型SUV,265公里,136马力,"快充0.6小时,慢充17小时",新能源,22.68-23.73万,停售,https://car.autohome.com.cn/price/series-5240-0-3.html#pvareaid=2042206
奥迪,奥迪Q3,4.55,紧凑型SUV,SUV ,1.4T 2.0T ,手动 湿式双离合 ,燃油汽车,23.42-42.88万,停售,https://car.autohome.com.cn/price/series-2951-0-3.html#pvareaid=2042206
